,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
21,5040.8820049999995,10000,276.42866000000004,0.3384903144777982,0.5001,0.5503200390831817,0.28242614998493765,1.0000172936140286e-12,0.9592890439315821,16.40505843,90.0,1.0,Mesozoic,Detachement,9,7,0.01
22,7087.94083,10000,-55.714195,0.3744562093480163,0.5001,0.5444844398034082,0.05643699930640159,1.0000034557695276e-12,0.9984061623965463,3.23532091,90.0,1.0,Mesozoic,Detachement,9,7,0.01
23,8992.84279,10000,-280.714195,0.40792447259220155,0.5001,0.5405312918787025,0.20491686449794386,1.0000125475391098e-12,0.9787793820093978,11.82463242,90.0,1.0,Mesozoic,Detachement,9,7,0.01
24,10613.43103,10000,-537.857055,0.43639747276001634,0.5001,0.5360134084859831,0.11233855738814562,1.0000068787527362e-12,0.9936699897481871,6.450140786,90.0,1.0,Mesozoic,Detachement,9,7,0.01
25,12660.48985,10000,-687.857055,0.4723633675423867,0.5001,0.5333779765361794,0.04481769070275754,1.000002744292073e-12,0.9989951824719474,2.568724949,90.0,1.0,Mesozoic,Detachement,9,7,0.01
26,14934.99966,10000,-805.714195,0.5123254730318271,0.5001,0.5313072800543894,0.05939714928593723,1.0000036370264375e-12,0.9982344307119542,3.40521025,90.0,1.0,Mesozoic,Detachement,9,7,0.01
27,20791.8624,10000,-1159.28563,0.6152278943025679,0.5001,0.5250951903454764,0.0838925051196728,1.0000051369343934e-12,0.996474810312286,4.812342613,90.0,1.0,Mesozoic,Detachement,9,7,0.01
28,24345.78397,10000,-1405.714195,0.6776686839870658,0.5001,0.5207655522551744,0.1088603595371428,1.000006665774543e-12,0.9940570517448432,6.2496244679999995,90.0,1.0,Mesozoic,Detachement,9,7,0.01
15,5069.313375,10000,147.85723000000002,0.33898984075029615,0.5001,0.5480610973868221,0.3892093147235814,1.0000238321970737e-12,0.9211493414941037,22.905309600000002,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
16,7059.509454999999,10000,-377.14277000000004,0.37395668298767065,0.5001,0.5388370855625089,0.12131798444844166,1.0000074285840666e-12,0.9926136945718589,6.9681733029999995,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
17,8879.1173,10000,-902.1427699999999,0.4059263673265143,0.5001,0.5296130737381958,0.4588473060424303,1.0000280962942321e-12,0.888515137597722,27.31275125,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
18,10300.68593,10000,-1727.14277,0.43090268323545255,0.5001,0.5151181980142752,0.5481515862382618,1.0000335646042766e-12,0.8363790041047459,33.24029625,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
19,15532.058480000002,10000,-1844.9999149999999,0.5228155256327612,0.5001,0.5130475014446375,-0.24823527783786845,9.999543999192339e-13,0.9686997712594946,14.37310956,270.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
20,17749.70554,10000,-548.5713450000001,0.5617785784015102,0.5001,0.5358251632714134,-0.5945696548868661,9.998907793262907e-13,0.8040441066808038,36.48195985,270.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
11,12774.21534,10000,-4416.42848,0.474361472808074,0.5001,0.4678686681323775,-0.36793294666070253,9.999324118141854e-13,0.9298523252445501,21.58819311,270.0,1.0,Middle-filling,Syn_tectonic_series1,11,9,0.01
12,13684.01926,10000,-4084.285625,0.49034631493357195,0.5001,0.47370426741215105,-0.29961271847576293,9.999449620365e-13,0.9540609094438741,17.43434359,270.0,1.0,Middle-filling,Syn_tectonic_series1,11,9,0.01
13,15816.3722,10000,-2187.857055,0.5278107887091317,0.5001,0.5070236570381419,-0.6101330120033817,9.998879203839692e-13,0.7922990014281512,37.59912122,270.0,1.0,Middle-filling,Syn_tectonic_series1,11,9,0.01
14,17635.98005,10000,-559.28563,0.5597804731358229,0.5001,0.5356369181446914,-0.6944378965586434,9.998724338279157e-13,0.7195526442333855,43.98244174,270.0,1.0,Middle-filling,Syn_tectonic_series1,11,9,0.01
6,11779.1173,10000,-5830.7142,0.4568780516893867,0.5001,0.4430203096481162,-0.15333733083055306,9.999718323892911e-13,0.9881739032050134,8.82037961,270.0,1.0,Lower-filling,Pre_tectonic_series,12,10,0.01
7,12831.0781,10000,-5487.8571,0.4753605257044608,0.5001,0.4490441533518299,-0.42614575436871543,9.999217182948912e-13,0.9046545175007282,25.2232075,270.0,1.0,Lower-filling,Pre_tectonic_series,12,10,0.01
8,15020.2938,10000,-3912.8571,0.5138240523764073,0.5001,0.47671618882476924,-0.642039930370995,9.998820591781517e-13,0.7666711992826241,39.94410070000001,270.0,1.0,Lower-filling,Pre_tectonic_series,12,10,0.01
9,15588.9212,10000,-3484.2856,0.5238145778263662,0.5001,0.48424599565060467,-0.5652267829017814,9.998961695244289e-13,0.8249355634781556,34.418040999999995,270.0,1.0,Lower-filling,Pre_tectonic_series,12,10,0.01
10,18346.7644,10000,-1769.9999,0.5722686317052262,0.5001,0.5143652176830825,0.26432319799775394,1.0000161851279183e-12,0.964434158977531,15.326741,90.0,1.0,Lower-filling,Pre_tectonic_series,12,10,0.01
